Name,PoseNum,ZDock Score,ZRank Score,Cluster,ClusterCenter,ClusterSize,Density,E_vdw1,E_elec1,E_vdw2,E_elec2,E_sol,E_RDock,clash
Pose1953,1953,16.680,97.348,15,0,23,19.000,-27.5232928,-1.74278156,-137.022316,-4.91118442,25.6,21.179934022,0
Pose1893,1893,18.500,76.216,35,0,16,16.000,-32.6341488,-6.34899457,-145.090218,-9.34225447,29.6,21.191970977,0
Pose84,84,17.720,-65.742,45,1,12,14.000,-117.290645,-5.80958496,-116.10133,0.915169056,20.4,21.2236521504,0
Pose1323,1323,16.880,12.272,15,0,23,21.000,-120.45,-1.1885397,-118.356012,-3.30564,24.2,21.224924,0
Pose1051,1051,16.820,-2.075,2001,0,1,4.000,-119.339904,-3.39002453,-131.932316,8.71817045,13.4,21.246353405,0
Pose1813,1813,16.660,60.141,2001,0,1,2.000,-101.36237,0.50325073,-110.005737,9.12334103,13.1,21.311006927,0
Pose1421,1421,16.600,19.625,58,0,10,7.000,-123.743749,-4.1116379,-119.166447,-3.27895128,24.3,21.348943848,0
Pose1107,1107,17.480,0.855,2001,0,1,1.000,-134.349185,-0.826141343,-145.754698,5.44059883,16.5,21.396538947,0
Pose1319,1319,16.660,12.039,15,0,23,13.000,-123.777179,-0.804274769,-118.949825,-4.19011723,25.2,21.428894493,0
Pose1497,1497,17.620,24.894,15,0,23,15.000,-117.247607,0.190368027,-110.682086,-3.61707163,24.7,21.444635533,0
Pose1204,1204,18.260,5.344,2001,0,1,23.000,-99.0636394,6.759628459E-02,-118.574646,-4.91358704,25.9,21.477771664,0
Pose1843,1843,19.000,63.129,53,0,11,10.000,-126.246941,-1.4129232,-120.244891,1.7597872,19.9,21.48380848,0
Pose824,824,17.760,-12.975,2001,0,1,4.000,-109.543893,-3.99345065,-128.141805,8.1089631,14.2,21.49806679,0
Pose1618,1618,17.280,34.127,2001,0,1,4.000,-98.0489221,-1.35814571,-101.091728,0.464454436,21.1,21.5180089924,0
Pose1606,1606,18.260,33.345,2,0,61,32.000,270.321886,-5.38934931,-112.889503,-5.06339975,26.1,21.542940225,0
Pose1486,1486,17.440,23.485,11,0,24,16.000,-123.657793,-0.844745236,-136.338321,-8.14091846,28.9,21.573173386,0
Pose1993,1993,17.380,137.454,53,0,11,10.000,-96.7329911,-1.23998149,-116.153584,3.22594456,18.7,21.603350104,0
Pose991,991,19.680,-5.188,69,0,8,8.000,-155.034738,-0.619394527,-152.651132,11.5619206,11.2,21.60572854,0
Pose799,799,17.340,-14.577,2001,0,1,3.000,-104.684001,0.325566635,-109.35067,6.91763082,15.4,21.625867738,0
Pose1045,1045,19.860,-2.423,2001,0,1,5.000,-112.126862,-1.55583711,-121.155905,9.76279794,12.9,21.686518146,0
Pose1806,1806,17.480,58.586,11,0,24,16.000,-118.596033,1.56008835,-125.224275,-4.9841232,26.2,21.71428912,0
Pose1753,1753,18.680,50.712,35,0,16,10.000,-131.45097,1.12225598,-131.795184,-6.38834995,27.5,21.750485045,0
Pose1805,1805,17.040,58.331,2001,0,1,2.000,-147.279711,-7.64780901,-150.270718,-2.33913899,23.9,21.794774909,0
Pose603,603,19.460,-23.955,62,1,9,9.000,-129.409816,0.550347212,-146.388653,12.9033493,10.2,21.81301437,0
Pose1917,1917,17.440,82.756,28,0,18,18.000,216.012708,-4.57957447,-142.033889,-6.29956913,27.5,21.830387783,0
Pose1112,1112,16.880,1.026,43,0,13,11.000,-103.748954,1.65093536,-101.906162,-5.37779262,26.7,21.859986642,0
Pose1263,1263,18.140,8.626,2001,0,1,3.000,-100.996927,0.111849506,-118.566304,5.2299624,17.2,21.90696616,0
Pose1908,1908,17.140,79.587,35,0,16,11.000,-104.619245,0.67020985,-125.638767,-5.88756388,27.3,22.001192508,0
Pose1736,1736,17.380,46.701,9,0,24,24.000,108.660211,-6.325613,-132.674484,1.42657121,20.8,22.083914089,0
Pose1205,1205,19.500,5.346,9,0,24,24.000,-1.95631361,0.676127829,-132.138487,3.3036374,19.3,22.27327366,0
Pose1024,1024,16.940,-3.381,76,0,7,7.000,-100.807767,-1.54088364,-115.915965,2.86497809,19.7,22.278480281,0
