PoseNum_ClusterNum     ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose77_Cluster60/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -469.7772       -99.1981         0.0000         0.0000         0.0000           -568.9753         0.0000      -568.9753      -568.9753         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose71_Cluster55/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -529.6102      -103.5393         0.0000         0.0000         0.0000           -633.1494         0.0000      -633.1494      -633.1494         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose673_Cluster51/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -485.8800       -87.2097         0.0000         0.0000         0.0000           -573.0896         0.0000      -573.0896      -573.0896         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose68_Cluster7/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -409.5454       -75.9848         0.0000         0.0000         0.0000           -485.5302         0.0000      -485.5302      -485.5302         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose684_Cluster50/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -833.8947      -112.5682         0.0000         0.0000         0.0000           -946.4629         0.0000      -946.4629      -946.4629         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose335_Cluster41/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -613.9712      -112.8728         0.0000         0.0000         0.0000           -726.8440         0.0000      -726.8440      -726.8440         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose36_Cluster71/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -670.6579       -65.1684         0.0000         0.0000         0.0000           -735.8264         0.0000      -735.8264      -735.8264         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose406_Cluster84/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -493.3764       -82.7554         0.0000         0.0000         0.0000           -576.1319         0.0000      -576.1319      -576.1319         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose128_Cluster24/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -710.4097       -83.3286         0.0000         0.0000         0.0000           -793.7383         0.0000      -793.7383      -793.7383         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose274_Cluster35/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -536.8073       -75.4742         0.0000         0.0000         0.0000           -612.2816         0.0000      -612.2816      -612.2816         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose2_Cluster2001/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -802.2663       -85.5659         0.0000         0.0000         0.0000           -887.8321         0.0000      -887.8321      -887.8321         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose80_Cluster20/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -645.7941       -94.6255         0.0000         0.0000         0.0000           -740.4197         0.0000      -740.4197      -740.4197         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose23_Cluster28/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -678.6610      -107.9037         0.0000         0.0000         0.0000           -786.5646         0.0000      -786.5646      -786.5646         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose24_Cluster58/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -773.2553       -78.3824         0.0000         0.0000         0.0000           -851.6377         0.0000      -851.6377      -851.6377         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose412_Cluster92/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -698.4041       -86.3821         0.0000         0.0000         0.0000           -784.7862         0.0000      -784.7862      -784.7862         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose583_Cluster48/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -423.9810      -115.1419         0.0000         0.0000         0.0000           -539.1230         0.0000      -539.1230      -539.1230         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose239_Cluster3/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -668.5014       -86.8750         0.0000         0.0000         0.0000           -755.3764         0.0000      -755.3764      -755.3764         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose960_Cluster98/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -671.2337       -99.6310         0.0000         0.0000         0.0000           -770.8647         0.0000      -770.8647      -770.8647         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose156_Cluster34/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -722.1969       -95.9797         0.0000         0.0000         0.0000           -818.1766         0.0000      -818.1766      -818.1766         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose700_Cluster95/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -563.4643       -70.8747         0.0000         0.0000         0.0000           -634.3391         0.0000      -634.3391      -634.3391         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose158_Cluster40/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -694.9597      -100.1685         0.0000         0.0000         0.0000           -795.1282         0.0000      -795.1282      -795.1282         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose82_Cluster86/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -617.1097      -106.8576         0.0000         0.0000         0.0000           -723.9673         0.0000      -723.9673      -723.9673         0.0000
/home/cshin11/Desktop/1E9_8G5_MayoClinic/Minimization/8G5/Pose247_Cluster65/pair_int.conf.log    ENERGY:       0         0.0000         0.0000         0.0000         0.0000           -539.8326       -85.8668         0.0000         0.0000         0.0000           -625.6994         0.0000      -625.6994      -625.6994         0.0000
